"id_item","nom","autre_nom","id_type_item","date_item","remarques_item"
20415,"Calendula officinalis",,4,11-juil.-07,
20416,"Callinectes sapidus",,4,11-juil.-07,
20417,"Calliphora augur",,4,11-juil.-07,
20418,"Calliphora erythrocephala",,4,11-juil.-07,
20419,"Calliphora stygia",,4,11-juil.-07,
20420,"Calliphora vomitoria",,4,11-juil.-07,"C. stygia, C. augar sont dans le paragraphe ""houseflies"" de Arlian [3021]"
20421,"Callistemon citrinus",,4,11-juil.-07,"ancien Callistemon citrinis"
20422,"Callistephus chinensis",,4,11-juil.-07,
20423,"Callitris glaucophylla",,4,11-juil.-07,
20424,"Callitris spp.",,4,11-juil.-07,
20425,"Callitris verrucosa",,4,11-juil.-07,
20426,"Calluna vulgaris",,4,11-juil.-07,
20428,"Calocedrus decurrens","Libocedrus decurrens",4,11-juil.-07,
20429,"Calvatia cyathiformis",,4,11-juil.-07,
20430,"Calystegia spp.",,4,11-juil.-07,
20431,"Camellia sinensis",,4,11-juil.-07,
20432,"Camellia spp.",,4,11-juil.-07,
20433,"Camelus spp.",,4,11-juil.-07,
20434,"Campanula spp.",,4,11-juil.-07,
20435,"Camponotus pennsylvanicus",,4,11-juil.-07,
20436,"Campsis radicans",,4,11-juil.-07,
20437,"Cananga odorata",,4,11-juil.-07,
20438,"Canarium indicum",,4,11-juil.-07,
20439,"Canarium sapho",,4,11-juil.-07,
20440,"Canavalia brasiliensis",,4,11-juil.-07,
20441,"Canavalia gladiata",,4,11-juil.-07,
20442,"Cancer pagurus",,4,11-juil.-07,
20443,"Candida albicans",,4,11-juil.-07,
20444,"Candida albidus",,4,11-juil.-07,
20445,"Candida boidinii",,4,11-juil.-07,
20446,"Candida spp.",,4,11-juil.-07,
20447,"Candida utilis",,4,11-juil.-07,
20448,"Canis familiaris",,4,11-juil.-07,
20449,"Canna indica",,4,11-juil.-07,
20450,"Cannabis sativa",,4,11-juil.-07,
20451,"Cantharellus cibarius",,4,11-juil.-07,
20452,"Capitulum mitella",,4,11-juil.-07,"contrôlé sur web"
20453,"Capparis spinosa",,4,11-juil.-07,
20454,"Capra hircus",,4,11-juil.-07,"ancien Capra spp."
20455,"Capra spp.",,4,11-juil.-07,"Capra hircus = aussi African dwarf goat dans NEWT --> préférence pour Capra spp."
20456,"Capreolus capreolus",,4,11-juil.-07,
20457,"Capsicum annuum annuum","Capsicum frutescens",4,11-juil.-07,"frutescens est synonyme de annuum annuum et de annuum glabriusculum selon NEWT
cette entrée est un synonyme de 2 entrées différentes --> pas gardée"
20458,"Capsicum annuum cuneatum",,4,11-juil.-07,"la variété cuneatum n'est pas dans NEWT mais dans Multilingual"
20459,"Capsicum annuum glabriusculum",,4,11-juil.-07,
20460,"Capsicum annuum grossum",,4,11-juil.-07,"synonyme possible = frutescens grossum"
20461,"Capsicum annuum longum",,4,11-juil.-07,
20462,"Capsicum chinense",,4,11-juil.-07,
20463,"Carausius morosus",,4,11-juil.-07,
20464,"Cardamine spp.",,4,11-juil.-07,
20465,"Carduus spp.",,4,11-juil.-07,
20466,"Carex spp.",,4,11-juil.-07,
20467,"Carica papaya",,4,11-juil.-07,
20468,"Carica pentagona",,4,11-juil.-07,
20469,"Carlina spp.",,4,11-juil.-07,
20470,"Carpinus betulus",,4,14-mars-08,
20471,"Carpinus spp.",,4,14-mars-08,
20472,"Carthamus tinctorius",,4,11-juil.-07,
20473,"Carum carvi",,4,11-juil.-07,
20474,"Carya laciniosa",,4,11-juil.-07,
20475,"Carya ovata",,4,11-juil.-07,
20476,"Carya tomentosa",,4,11-juil.-07,
20477,"Cassia auriculata",,4,11-juil.-07,
20478,"Cassia roxburghii",,4,11-juil.-07,
20479,"Cassia senna",,4,11-juil.-07,
20480,"Cassia spp.",,4,11-juil.-07,
20481,"Castanea crenata",,4,11-juil.-07,
20482,"Castanea dentata",,4,11-juil.-07,
20483,"Castanea sativa",,4,11-juil.-07,
20484,"Castanopsis spp.",,4,11-juil.-07,
20485,"Castilla elastica",,4,11-juil.-07,
20486,"Casuarina equisetifolia",,4,11-juil.-07,
20487,"Casuarina spp.",,4,11-juil.-07,
20488,"Catabroza spp.",,4,11-juil.-07,
20489,"Catalpa bignonioides",,4,11-juil.-07,
20490,"Catharanthus roseus","Vinca rosea",4,29-oct.-09,
20491,"Catha edulis",,4,11-juil.-07,
20492,"Cavia porcellus",,4,11-juil.-07,
20493,"Engraulis spp.",,4,11-juil.-07,
20494,"Ceanothus spp.",,4,11-juil.-07,
20495,"Cedrus atlantica",,4,11-juil.-07,
20496,"Cedrus deodara",,4,11-juil.-07,
20497,"Cedrus libani",,4,11-juil.-07,
20498,"Cedrus spp.",,4,11-juil.-07,
20499,"Ceiba pentandra",,4,11-juil.-07,
20500,"Cellana grata",,4,11-juil.-07,
20501,"Celosia spp.",,4,11-juil.-07,
20502,"Celtis occidentalis",,4,11-juil.-07,
20503,"Celtis spp.",,4,11-juil.-07,
20504,"Cenchrus ciliaris","Pennisetum ciliare",4,11-juil.-07,
20505,"Centaurea cyanus",,4,11-juil.-07,
20506,"Centaurea spp.",,4,11-juil.-07,
20507,"Centaurium spp.",,4,11-juil.-07,
20508,"Centropristis striata",,4,11-juil.-07,
20509,"Centruroides vittatus",,4,11-juil.-07,
20510,"Cephalosporium acremonium",,4,11-juil.-07,
20511,"Cerastium spp.",,4,11-juil.-07,
20512,"Cerastoderma edule",,4,11-juil.-07,
20513,"Ceratonia siliqua",,4,11-juil.-07,
